date,SPY,IEF,HYG,BIL,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU
2006-01-03,87.00091552734375,48.76194381713867,,,,12.79130744934082,13.659247398376465,14.491589546203613,17.43276023864746,22.597063064575195,21.40320587158203,9.89621353149414,,8.211322784423828,7.902341365814209
2006-01-04,87.41291809082031,48.84917068481445,,,,12.802933692932129,13.7058687210083,14.53284740447998,17.416522979736328,22.822261810302734,21.457345962524414,9.957024574279785,,8.307659149169922,7.914690017700195
2006-01-05,87.46784210205078,48.86075973510742,,,,12.814562797546387,13.635937690734863,14.348605155944824,17.476078033447266,22.765958786010742,21.42350196838379,9.941021919250488,,8.346190452575684,7.862828731536865
2006-01-06,88.19573974609375,48.79679489135742,,,,12.919221878051758,13.694214820861816,14.700578689575195,17.57893943786621,22.913745880126953,21.504711151123047,10.046637535095215,,8.47720718383789,7.946791648864746
2006-01-09,88.42235565185547,48.82008743286133,,,,13.051011085510254,13.758318901062012,14.684083938598633,17.627668380737305,23.019298553466797,21.680644989013672,10.04343318939209,,8.504175186157227,7.897404670715332
2006-01-10,88.5115737915039,48.62246322631836,,,,13.054887771606445,13.723350524902344,14.843572616577148,17.643905639648438,22.934860229492188,21.6197452545166,9.979423522949219,,8.496471405029297,7.90974760055542
2006-01-11,88.79312896728516,48.50041580200195,,,,13.120782852172852,13.735008239746094,14.906819343566895,17.741355895996094,22.878557205200195,21.63327407836914,9.90261459350586,,8.577388763427734,7.897404670715332
2006-01-12,88.44294738769531,48.67476272583008,,,,13.004494667053223,13.700040817260742,14.799575805664062,17.616830825805664,22.85744857788086,21.470882415771484,9.76499080657959,,8.531149864196777,7.897404670715332
2006-01-13,88.36052703857422,48.88981628417969,,,,13.008377075195312,13.682557106018066,14.975563049316406,17.606006622314453,22.843360900878906,21.396440505981445,9.787392616271973,,8.527295112609863,7.951732158660889
2006-01-17,88.12020111083984,48.947959899902344,,,,12.938604354858398,13.630119323730469,15.305543899536133,17.421934127807617,22.780027389526367,21.288175582885742,9.79699420928955,,8.442524909973145,8.035690307617188
2006-01-18,87.76998138427734,48.965362548828125,,,,12.89596939086914,13.688389778137207,15.179054260253906,17.373214721679688,22.81521987915039,21.31524085998535,9.700980186462402,,8.342334747314453,8.05298137664795
2006-01-19,88.10647583007812,48.84330368041992,,,,12.992874145507812,13.700040817260742,15.44303035736084,17.319072723388672,22.934860229492188,21.416744232177734,9.803394317626953,,8.415550231933594,8.124598503112793
2006-01-20,86.4996566772461,48.92464828491211,,,,12.771927833557129,13.501908302307129,15.5117826461792,16.956335067749023,22.498537063598633,20.949832916259766,9.636967658996582,,8.195916175842285,8.07767391204834
2006-01-23,86.80868530273438,48.91304016113281,,,,12.764181137084961,13.513565063476562,15.682273864746094,16.999656677246094,22.484460830688477,20.963363647460938,9.768190383911133,,8.165085792541504,8.065327644348145
2006-01-24,86.89791870117188,48.831722259521484,,,,12.892090797424316,13.560188293457031,15.58877182006836,17.07544708251953,22.3789005279541,21.11900520324707,9.877007484436035,,8.192061424255371,8.136943817138672
2006-01-25,86.97348022460938,48.52949142456055,,,,12.845576286315918,13.571840286254883,15.261547088623047,17.107929229736328,22.350751876831055,21.11223602294922,9.925013542175293,,8.219038009643555,8.0258150100708
2006-01-26,87.45417022705078,48.424827575683594,,,,12.899840354919434,13.600973129272461,15.311043739318848,17.4002742767334,22.463354110717773,21.349069595336914,10.04343318939209,,8.272982597351074,7.954204082489014
