date,AQMIX,BIL
2010-01-04,,73.66844940185547
2010-01-05,5.372642993927002,73.65238189697266
2010-01-06,5.372642993927002,73.65238189697266
2010-01-07,5.361896991729736,73.65238189697266
2010-01-08,5.361896991729736,73.65238189697266
2010-01-11,5.388759613037109,73.65238189697266
2010-01-12,5.335033893585205,73.65238189697266
2010-01-13,5.361896991729736,73.68452453613281
2010-01-14,5.378015041351318,73.66844940185547
2010-01-15,5.351152420043945,73.66844940185547
2010-01-19,5.399506568908691,73.66844940185547
2010-01-20,5.35652494430542,73.66844940185547
2010-01-21,5.313544273376465,73.66844940185547
2010-01-22,5.2490715980529785,73.66844940185547
2010-01-25,5.2490715980529785,73.68452453613281
2010-01-26,5.2490715980529785,73.68452453613281
2010-01-27,5.2383270263671875,73.7005844116211
2010-01-28,5.211463451385498,73.68452453613281
2010-01-29,5.2168354988098145,73.7005844116211
2010-02-01,5.222209930419922,73.68452453613281
2010-02-02,5.232953071594238,73.66844940185547
2010-02-03,5.227581977844238,73.7005844116211
2010-02-04,5.184599876403809,73.7005844116211
2010-02-05,5.1416192054748535,73.7005844116211
2010-02-08,5.136247158050537,73.7005844116211
2010-02-09,5.1416192054748535,73.7005844116211
2010-02-10,5.130873203277588,73.7005844116211
2010-02-11,5.152364253997803,73.7005844116211
2010-02-12,5.173854827880859,73.7005844116211
2010-02-16,5.163109302520752,73.7005844116211
2010-02-17,5.200717449188232,73.65238189697266
2010-02-18,5.189971923828125,73.68452453613281
2010-02-19,5.179227352142334,73.65238189697266
2010-02-22,5.184599876403809,73.68452453613281
2010-02-23,5.179227352142334,73.65238189697266
2010-02-24,5.173854827880859,73.68452453613281
2010-02-25,5.1416192054748535,73.68452453613281
2010-02-26,5.1416192054748535,73.68452453613281
2010-03-01,5.1416192054748535,73.65238189697266
2010-03-02,5.14699125289917,73.66844940185547
2010-03-03,5.157736778259277,73.65238189697266
2010-03-04,5.168481826782227,73.65238189697266
2010-03-05,5.206090450286865,73.65238189697266
2010-03-08,5.211463451385498,73.65238189697266
2010-03-09,5.2168354988098145,73.65238189697266
2010-03-10,5.222209930419922,73.66844940185547
2010-03-11,5.222209930419922,73.65238189697266
2010-03-12,5.232953071594238,73.65238189697266
2010-03-15,5.222209930419922,73.65238189697266
2010-03-16,5.243699073791504,73.65238189697266
2010-03-17,5.270561695098877,73.65238189697266
2010-03-18,5.259817123413086,73.65238189697266
2010-03-19,5.254443645477295,73.65238189697266
2010-03-22,5.265190124511719,73.66844940185547
2010-03-23,5.297425270080566,73.66844940185547
2010-03-24,5.265190124511719,73.65238189697266
2010-03-25,5.254443645477295,73.68452453613281
2010-03-26,5.2490715980529785,73.68452453613281
2010-03-29,5.292052745819092,73.65238189697266
2010-03-30,5.302798271179199,73.65238189697266
2010-03-31,5.324288845062256,73.68452453613281
2010-04-01,5.361896991729736,73.68452453613281
2010-04-05,5.383388042449951,73.65238189697266
2010-04-06,5.399506568908691,73.65238189697266
2010-04-07,5.388759613037109,73.65238189697266
2010-04-08,5.388759613037109,73.65238189697266
2010-04-09,5.388759613037109,73.65238189697266
2010-04-12,5.367269992828369,73.65238189697266
2010-04-13,5.367269992828369,73.65238189697266
2010-04-14,5.410251140594482,73.65238189697266
2010-04-15,5.431741714477539,73.65238189697266
2010-04-16,5.372642993927002,73.65238189697266
2010-04-19,5.3457794189453125,73.66844940185547
