date,SPX,QQQ,SEMIS,BOND,GOLD,OIL,USD,CASH,VIX_HEDGE,VIX,VIX3M
2020-02-03,295.4416809082031,214.07662963867188,67.1838607788086,97.119873046875,148.36000061035156,12.451675415039062,22.768085479736328,76.89918518066406,1029.5999755859375,17.97,18.04
2020-02-04,299.9444885253906,218.97657775878906,69.3470458984375,96.55653381347656,146.42999267578125,12.469077110290527,22.802566528320312,76.89918518066406,973.5999755859375,16.05,16.7
2020-02-05,303.4083251953125,219.69854736328125,70.72492980957031,96.13834381103516,146.61000061035156,12.660507202148438,22.888776779174805,76.91598510742188,935.2000122070312,15.15,16.11
2020-02-06,304.42926025390625,221.59498596191406,70.7730941772461,96.20659637451172,147.39999389648438,12.712715148925781,22.931882858276367,76.92440795898438,926.4000244140625,14.96,15.89
2020-02-07,302.8067626953125,220.64195251464844,69.15432739257812,96.66748809814453,147.7899932861328,12.643104553222656,22.983610153198242,76.92440795898438,938.4000244140625,15.47,16.29
2020-02-10,305.0672912597656,223.3085479736328,70.24314880371094,96.85527801513672,148.1699981689453,12.529987335205078,23.01809310913086,76.91598510742188,928.0,15.04,16.13
2020-02-11,305.5960388183594,223.3470458984375,71.72702026367188,96.62480163574219,147.66000366210938,12.573493003845215,22.992229461669922,76.92440795898438,929.5999755859375,15.18,16.14
2020-02-12,307.56488037109375,225.52267456054688,72.7387466430664,96.3773193359375,147.5399932861328,12.747520446777344,23.052576065063477,76.9328384399414,884.7999877929688,13.74,15.36
2020-02-13,307.2366638183594,225.23387145996094,72.91219329833984,96.46269226074219,148.3800048828125,12.756223678588867,23.078441619873047,76.94120025634766,900.0,14.15,15.68
2020-02-14,307.7289123535156,225.8788299560547,72.59902954101562,96.70164489746094,149.0,12.747520446777344,23.069820404052734,76.94120025634766,888.0,13.68,15.5
2020-02-18,306.9359436035156,225.9654998779297,71.51022338867188,96.85527801513672,150.91000366210938,12.843235969543457,23.156028747558594,76.94966125488281,903.2000122070312,14.83,16.1
