date,SPX,QQQ,SEMIS,BOND,GOLD,OIL,USD,CASH
2008-01-02,103.22962951660156,43.30919647216797,13.314949035644531,55.76769256591797,84.86000061035156,26.991880416870117,19.492528915405273,72.41738891601562
2008-01-03,103.1798324584961,43.489593505859375,13.081427574157715,55.88225173950195,85.56999969482422,27.19995880126953,19.53402328491211,72.37001037597656
2008-01-04,100.6512680053711,41.58232498168945,12.41907787322998,56.02862548828125,85.12999725341797,27.04182243347168,19.326566696166992,72.3542251586914
2008-01-07,100.56578826904297,41.38471221923828,12.48701000213623,56.13045120239258,84.7699966430664,26.550756454467773,19.517425537109375,72.41738891601562
2008-01-08,98.9417724609375,40.3107795715332,12.257736206054688,56.251380920410156,86.77999877929688,26.792125701904297,19.492528915405273,72.37001037597656
2008-01-09,99.98170471191406,41.16992950439453,12.27896499633789,56.16228103637695,86.55000305175781,26.525787353515625,19.641897201538086,72.32261657714844
2008-01-10,100.636962890625,41.230072021484375,12.236505508422852,56.009552001953125,88.25,26.40093994140625,19.451038360595703,72.3542251586914
2008-01-11,99.82499694824219,40.42246627807617,11.973264694213867,56.365909576416016,88.58000183105469,26.642309188842773,19.54231834411621,72.38580322265625
2008-01-14,100.6299057006836,41.12696838378906,12.380864143371582,56.39137268066406,89.54000091552734,26.975236892700195,19.442739486694336,72.44901275634766
2008-01-15,98.4146957397461,39.99290466308594,12.070920944213867,56.76049041748047,87.98999786376953,26.642309188842773,19.426145553588867,72.43328094482422
2008-01-16,97.56712341308594,39.56333541870117,11.850133895874023,56.65229415893555,86.69999694824219,26.392616271972656,19.666791915893555,72.43328094482422
2008-01-17,95.03853607177734,39.013484954833984,11.688793182373047,57.11053466796875,86.5,26.05136489868164,19.63360023498535,72.40164184570312
2008-01-18,94.0627212524414,38.96194076538086,11.850133895874023,57.02776336669922,87.41999816894531,26.151247024536133,19.691686630249023,72.44901275634766
2008-01-22,93.10828399658203,37.95673751831055,11.63784122467041,57.664161682128906,88.16999816894531,26.059690475463867,19.72488021850586,72.4806137084961
2008-01-23,95.34483337402344,37.810691833496094,12.053935050964355,57.39687728881836,87.88999938964844,25.568628311157227,19.666791915893555,72.55962371826172
2008-01-24,96.14971160888672,38.58393096923828,12.266226768493652,56.87501907348633,90.08000183105469,26.201181411743164,19.500829696655273,72.59123992919922
2008-01-25,94.76072692871094,37.79351806640625,11.89683723449707,57.40323257446289,90.30000305175781,26.783803939819336,19.550617218017578,72.5122299194336
2008-01-28,96.3277587890625,38.085609436035156,12.168572425842285,57.193260192871094,91.75,26.908653259277344,19.426145553588867,72.54383850097656
2008-01-29,96.80496978759766,38.15433883666992,12.121868133544922,56.964115142822266,91.1500015258789,27.133373260498047,19.417844772338867,72.60706329345703
2008-01-30,96.09268951416016,38.11996078491211,12.232259750366211,56.93868637084961,92.05999755859375,26.900327682495117,19.301671981811523,72.63865661621094
2008-01-31,97.84488677978516,38.77293014526367,11.952034950256348,57.231449127197266,91.4000015258789,27.033496856689453,19.451038360595703,72.63865661621094
2008-02-01,99.41899871826172,39.16812515258789,12.839414596557617,57.41722106933594,89.3499984741211,26.5590763092041,19.52572250366211,72.63067626953125
2008-02-04,98.1654281616211,38.618263244628906,12.525221824645996,57.09796142578125,89.0999984741211,27.025175094604492,19.492528915405273,72.64653778076172
2008-02-05,95.5371322631836,37.51858901977539,12.066673278808594,57.50012969970703,87.68000030517578,26.80044937133789,19.69998550415039,72.59901428222656
2008-02-06,94.76791381835938,36.779747009277344,11.845887184143066,57.39804458618164,88.94999694824219,26.67560386657715,19.69998550415039,72.66240692138672
