date,NVDA,AMD,AVGO,QCOM,TXN,AMAT,LRCX,KLAC,MU,INTC,MCHP,ADI,MRVL,ON,TSM,ASML,MSFT,AAPL,AMZN,GOOGL,META,NFLX,CRM,ADBE
2014-01-02,0.3734085261821747,3.950000047683716,3.9009478092193604,51.978675842285156,30.520471572875977,14.973541259765625,4.57708740234375,4.001961708068848,21.121469497680664,19.178794860839844,16.922712326049805,38.030696868896484,12.53052043914795,8.010000228881836,12.456209182739258,81.6897201538086,30.694448471069336,17.12488555908203,19.898500442504883,27.611021041870117,54.23374557495117,5.183143138885498,53.927040100097656,59.290000915527344
2014-01-03,0.368935227394104,4.0,3.915767192840576,51.67383575439453,30.65502166748047,14.939409255981445,4.576240062713623,4.007646083831787,20.448625564575195,19.171356201171875,17.064468383789062,38.285369873046875,12.521683692932129,8.050000190734863,12.310951232910156,81.40670776367188,30.487932205200195,16.74872589111328,19.82200050354004,27.409605026245117,54.08504867553711,5.187142848968506,54.18260955810547,59.15999984741211
2014-01-06,0.3738793730735779,4.130000114440918,3.8890929222106934,51.53913497924805,30.400089263916016,14.751710891723633,4.517700672149658,3.937558174133301,20.15608787536621,18.933385848999023,17.029987335205078,38.069278717041016,12.946145057678223,8.029999732971191,12.274632453918457,79.73506927490234,29.843656539916992,16.840055465698242,19.681499481201172,27.7152042388916,56.702064514160156,5.136713981628418,53.307743072509766,58.119998931884766
2014-01-07,0.38000091910362244,4.179999828338623,3.926138401031494,51.921966552734375,30.23722267150879,14.819969177246094,4.57369327545166,3.9356634616851807,21.189727783203125,19.03006362915039,17.125768661499023,38.26994323730469,12.999200820922852,8.100000381469727,12.28189754486084,79.06287384033203,30.074926376342773,16.719614028930664,19.901500701904297,28.24950408935547,57.415794372558594,4.849999904632568,54.0155029296875,58.970001220703125
2014-01-08,0.38518041372299194,4.179999828338623,3.984671115875244,52.23390197753906,30.65502166748047,14.86262321472168,4.596600532531738,3.933769702911377,23.276525497436523,18.91107940673828,17.3518123626709,38.362525939941406,13.237960815429688,8.539999961853027,12.412631034851074,79.27510070800781,29.538036346435547,16.825496673583984,20.09600067138672,28.30829429626465,57.72309875488281,4.871285915374756,55.97166061401367,58.900001525878906
2014-01-09,0.3708186447620392,4.090000152587891,3.9439220428466797,52.39695358276367,30.492145538330078,14.845565795898438,4.598297595977783,3.9457666873931885,22.662187576293945,18.82184410095215,17.325002670288086,38.21592330932617,13.397134780883789,8.479999542236328,12.172948837280273,79.7262191772461,29.34804344177246,16.610641479492188,20.050500869750977,28.035686492919922,56.72188949584961,4.815000057220459,55.33271789550781,59.09000015258789
2014-01-10,0.370347797870636,4.170000076293945,3.9491078853607178,52.36859893798828,30.527544021606445,14.905287742614746,4.655989646911621,4.017116546630859,23.120498657226562,18.985445022583008,17.26752471923828,38.22362518310547,13.4501953125,8.609999656677246,12.274632453918457,80.54875946044922,29.769317626953125,16.49980354309082,19.882999420166016,28.034198760986328,57.43561935424805,4.744856834411621,55.98149871826172,59.529998779296875
2014-01-13,0.36163654923439026,4.130000114440918,3.900207996368408,51.90778732299805,29.911476135253906,14.777302742004395,4.630537986755371,3.9344003200531006,22.749950408935547,18.963132858276367,17.29817008972168,37.71428680419922,13.46788215637207,8.640000343322754,12.28189754486084,79.9207534790039,28.89375114440918,16.586183547973633,19.548999786376953,27.855600357055664,55.42329406738281,4.81157112121582,55.25408172607422,58.599998474121094
2014-01-14,0.3729375898838043,4.300000190734863,4.095069885253906,52.02832794189453,30.690418243408203,15.041792869567871,4.7416768074035645,4.032270908355713,23.081499099731445,19.71422576904297,17.665979385375977,38.362525939941406,13.98077392578125,8.800000190734863,12.623261451721191,80.6549072265625,29.554555892944336,16.916217803955078,19.87700080871582,28.510950088500977,57.237369537353516,4.828000068664551,56.53196716308594,60.369998931884766
2014-01-15,0.3769401013851166,4.46999979019165,4.221025466918945,52.82231521606445,30.83205795288086,15.297758102416992,4.746767997741699,4.033533573150635,22.749950408935547,19.833208084106445,17.754098892211914,38.601768493652344,13.724326133728027,8.859999656677246,12.753998756408691,79.10707092285156,30.364025115966797,17.25584602355957,19.793500900268555,28.49160385131836,57.09857940673828,4.719714164733887,58.70439147949219,61.68000030517578
