date,SPX,QQQ,SEMIS,BOND,GOLD,OIL,USD,CASH,VIX_HEDGE,VIX,VIX3M
2022-06-13,353.9407958984375,268.25177001953125,103.0965805053711,86.13031005859375,169.92999267578125,26.008424758911133,24.225034713745117,76.8454818725586,416.20001220703125,34.02,34.24
2022-06-14,352.874267578125,268.7388000488281,103.85255432128906,85.4426040649414,168.57000732421875,25.72127914428711,24.27676010131836,76.83708953857422,403.6000061035156,32.69,33.28
2022-06-15,357.90496826171875,275.4496765136719,105.75471496582031,86.63524627685547,170.77000427246094,25.738679885864258,24.08709716796875,76.8454818725586,379.6000061035156,29.62,30.78
2022-06-16,346.05975341796875,264.3362731933594,99.48736572265625,87.20108795166016,172.69000244140625,25.85179901123047,23.85433006286621,76.86226654052734,403.79998779296875,32.95,33.49
2022-06-17,346.8057556152344,267.55047607421875,100.3018798828125,87.22718048095703,171.27000427246094,24.929452896118164,24.095720291137695,76.85389709472656,392.0,31.13,32.36
2022-06-21,355.5360412597656,274.30072021484375,103.14534759521484,86.7745361328125,170.6300048828125,24.86854362487793,24.00950813293457,76.87071990966797,384.20001220703125,30.19,31.25
2022-06-22,354.8914794921875,273.90057373046875,101.6919174194336,87.87142181396484,171.30999755859375,24.424772262573242,23.97502326965332,76.87911224365234,369.20001220703125,28.95,30.24
2022-06-23,358.3703918457031,277.9797668457031,101.16515350341797,88.36761474609375,170.25999450683594,23.8765869140625,24.000886917114258,76.87911224365234,369.20001220703125,29.05,30.19
2022-06-24,369.76434326171875,287.5042724609375,105.42794036865234,88.05422973632812,170.08999633789062,24.10282325744629,23.94916343688965,76.86226654052734,361.6000061035156,27.23,28.95
2022-06-27,368.3519287109375,285.3964538574219,105.07676696777344,87.55802917480469,169.89999389648438,24.050613403320312,23.906057357788086,76.86226654052734,350.3999938964844,26.95,28.18
2022-06-28,360.82550048828125,276.7013854980469,102.42838287353516,87.67118835449219,169.6199951171875,24.337757110595703,24.043991088867188,76.87911224365234,360.6000061035156,28.36,29.15
2022-06-29,360.5315856933594,276.955078125,100.623779296875,88.37629699707031,169.49000549316406,23.920093536376953,24.181928634643555,76.88754272460938,361.6000061035156,28.16,29.0
2022-06-30,357.6025085449219,273.5199279785156,99.36543273925781,89.05531311035156,168.4600067138672,23.18047332763672,24.104339599609375,76.89590454101562,365.0,28.71,29.71
2022-07-01,361.3847961425781,275.3254089355469,95.59040832519531,90.00997161865234,168.32000732421875,23.293594360351562,24.181928634643555,76.89002990722656,355.6000061035156,26.7,28.52
2022-07-05,362.0672302246094,280.0388488769531,96.09276580810547,90.3412857055664,164.75,21.727344512939453,24.526769638061523,76.89002990722656,355.3999938964844,27.54,28.9
2022-07-06,363.2900695800781,281.8344421386719,96.74632263183594,89.57408905029297,162.13999938964844,21.4053955078125,24.63884162902832,76.89002990722656,349.6000061035156,26.73,28.39
2022-07-07,368.73114013671875,287.8654479980469,101.21394348144531,89.02481079101562,162.22999572753906,22.29293441772461,24.647464752197266,76.89002990722656,345.79998779296875,26.08,28.03
2022-07-08,368.4278564453125,288.22650146484375,101.76019287109375,88.4842758178711,162.3000030517578,22.68449592590332,24.630220413208008,76.8816146850586,338.6000061035156,24.64,27.3
2022-07-11,364.218994140625,282.0687255859375,99.32154083251953,89.18173217773438,161.42999267578125,22.6409912109375,24.914714813232422,76.89002990722656,348.20001220703125,26.17,28.25
2022-07-12,360.99609375,279.336181640625,99.28252410888672,89.39096069335938,160.8300018310547,21.614227294921875,24.906091690063477,76.8816146850586,351.6000061035156,27.29,28.82
2022-07-13,359.10028076171875,278.76043701171875,100.0677719116211,89.77460479736328,161.60000610351562,21.736045837402344,24.854366302490234,76.8816146850586,346.20001220703125,26.82,28.56
2022-07-14,358.22821044921875,279.7558898925781,102.17964935302734,89.27764129638672,159.3300018310547,21.53591537475586,25.02678871154785,76.89002990722656,346.79998779296875,26.4,28.61
2022-07-15,365.0721435546875,284.8304748535156,104.7597427368164,89.5827865600586,159.00999450683594,21.814359664916992,24.880231857299805,76.8816146850586,329.20001220703125,24.23,27.08
2022-07-18,362.0577697753906,282.4200134277344,103.9842529296875,89.32124328613281,159.16000366210938,22.223325729370117,24.742294311523438,76.8816146850586,338.79998779296875,25.3,27.82
2022-07-19,371.84033203125,291.10540771484375,108.73474884033203,88.9114761352539,159.5399932861328,22.31033706665039,24.587116241455078,76.8816146850586,334.0,24.5,27.31
2022-07-20,374.21002197265625,295.7212829589844,111.29534149169922,88.82427978515625,158.0399932861328,22.29293441772461,24.656084060668945,76.8816146850586,326.6000061035156,23.88,26.7
2022-07-21,378.020751953125,299.9664001464844,113.1633529663086,89.83564758300781,160.27000427246094,21.91877555847168,24.587116241455078,76.90682983398438,318.20001220703125,23.11,26.22
2022-07-22,374.513427734375,294.7063293457031,110.6027603149414,90.86442565917969,160.6699981689453,21.657733917236328,24.552631378173828,76.91527557373047,316.6000061035156,23.03,25.97
2022-07-25,374.9684143066406,293.0278625488281,109.91992950439453,90.54181671142578,160.22999572753906,22.049293518066406,24.51814842224121,76.90682983398438,312.6000061035156,23.36,25.8
2022-07-26,370.5321350097656,287.2701110839844,108.26165008544922,90.57671356201172,160.0399932861328,22.092802047729492,24.707809448242188,76.90682983398438,319.79998779296875,24.69,26.42
2022-07-27,380.153564453125,299.4101257324219,113.32917022705078,90.75981903076172,161.6699981689453,22.59748077392578,24.500905990600586,76.90682983398438,310.0,23.24,25.31
2022-07-28,384.9216003417969,302.3377380371094,114.7143325805664,91.6578140258789,163.63999938964844,22.614887237548828,24.48366355895996,76.91527557373047,294.0,22.33,24.33
2022-07-29,390.5332946777344,307.8514404296875,115.6702880859375,91.69268798828125,164.10000610351562,22.719303131103516,24.38883399963379,76.92367553710938,291.20001220703125,21.33,23.79
2022-08-01,389.37677001953125,307.6660461425781,115.90438842773438,92.2289047241211,165.02999877929688,22.258127212524414,24.294002532958984,76.9295425415039,301.3999938964844,22.84,24.86
2022-08-02,386.8079833984375,306.74871826171875,115.66541290283203,90.95378875732422,164.0500030517578,22.14501190185547,24.449180603027344,76.93798065185547,304.3999938964844,23.93,25.66
2022-08-03,392.86517333984375,315.102294921875,118.43084716796875,91.32933807373047,164.4499969482422,21.95357894897461,24.51814842224121,76.9295425415039,289.20001220703125,21.95,24.37
2022-08-04,392.5997314453125,316.5758361816406,119.63552856445312,91.79228210449219,167.1699981689453,21.718643188476562,24.36297035217285,76.94641876220703,290.20001220703125,21.44,24.32
2022-08-05,391.9361572265625,313.9897155761719,118.8210220336914,90.46471405029297,165.2899932861328,21.640331268310547,24.569873809814453,76.96322631835938,282.79998779296875,21.15,24.18
2022-08-08,391.4811706542969,312.974853515625,116.7676773071289,90.99746704101562,166.69000244140625,21.9013729095459,24.535388946533203,76.97166442871094,284.3999938964844,21.29,24.48
2022-08-09,389.9266052246094,309.4324035644531,111.880615234375,90.72673797607422,167.1999969482422,22.084102630615234,24.5095272064209,76.96322631835938,286.3999938964844,21.77,24.69
2022-08-10,398.1165771484375,318.06890869140625,116.41162872314453,90.77912139892578,166.77999877929688,22.388648986816406,24.242277145385742,76.97166442871094,270.0,19.74,23.46
2022-08-11,398.1165771484375,316.26361083984375,116.38726043701172,90.17646026611328,166.33999633789062,22.823719024658203,24.259517669677734,76.97166442871094,272.20001220703125,20.2,23.71
2022-08-12,404.85626220703125,322.42138671875,119.674560546875,90.53456115722656,167.8699951171875,22.701900482177734,24.35434913635254,76.98847961425781,268.79998779296875,19.53,23.31
2022-08-15,406.5246887207031,325.0269775390625,120.21593475341797,90.82278442382812,165.7100067138672,22.423458099365234,24.569873809814453,76.98007202148438,264.6000061035156,19.95,23.32
2022-08-16,407.3209228515625,324.2658386230469,118.86004638671875,90.71798706054688,165.4199981689453,22.171113967895508,24.56125259399414,76.98847961425781,266.6000061035156,19.69,23.32
2022-08-17,404.4297790527344,320.5672302246094,116.30921173095703,90.10660552978516,164.35000610351562,22.258127212524414,24.59573745727539,76.98847961425781,265.3999938964844,19.9,23.6
2022-08-18,405.605224609375,321.3381652832031,117.93335723876953,90.28129577636719,163.9199981689453,22.59748077392578,24.785400390625,77.02216339111328,261.20001220703125,19.56,23.39
2022-08-19,400.1546630859375,315.072998046875,114.61190795898438,89.50399780273438,162.72000122070312,22.58877944946289,24.94057846069336,77.02216339111328,274.20001220703125,20.6,24.32
2022-08-22,391.8224792480469,306.7779541015625,110.61739349365234,89.1109619140625,161.63999938964844,22.78891372680664,25.14748191833496,77.03057861328125,292.0,23.8,26.0
