date,BIL,BTAL,CAOS,CTA,DBMF,FLSP,FMF,GDE,GLD,ILS,KMLM,NTSX,QAI,QQQ,RSBT,RSST,SMH,SPY,WTMF
2008-01-02,72.41739654541016,,,,,,,,84.86000061035156,,,,,43.30917739868164,,,13.314947128295898,103.22966766357422,
2008-01-03,72.36996459960938,,,,,,,,85.56999969482422,,,,,43.48960876464844,,,13.081426620483398,103.17981719970703,
2008-01-04,72.35415649414062,,,,,,,,85.12999725341797,,,,,41.582305908203125,,,12.419078826904297,100.6512680053711,
2008-01-07,72.41739654541016,,,,,,,,84.7699966430664,,,,,41.38469696044922,,,12.487011909484863,100.56574249267578,
2008-01-08,72.36996459960938,,,,,,,,86.77999877929688,,,,,40.31078338623047,,,12.257737159729004,98.94178771972656,
2008-01-09,72.32262420654297,,,,,,,,86.55000305175781,,,,,41.169898986816406,,,12.278964042663574,99.9817123413086,
2008-01-10,72.35415649414062,,,,,,,,88.25,,,,,41.23007583618164,,,12.236506462097168,100.63702392578125,
2008-01-11,72.38582611083984,,,,,,,,88.58000183105469,,,,,40.422481536865234,,,11.97326374053955,99.82501220703125,
2008-01-14,72.44902801513672,,,,,,,,89.54000091552734,,,,,41.12696075439453,,,12.380865097045898,100.6298828125,
2008-01-15,72.4332504272461,,,,,,,,87.98999786376953,,,,,39.992916107177734,,,12.070918083190918,98.41468811035156,
2008-01-16,72.4332504272461,,,,,,,,86.69999694824219,,,,,39.56333923339844,,,11.850133895874023,97.5671157836914,
2008-01-17,72.40161895751953,,,,,,,,86.5,,,,,39.013492584228516,,,11.688794136047363,95.03852844238281,
2008-01-18,72.44902801513672,,,,,,,,87.41999816894531,,,,,38.96192932128906,,,11.850133895874023,94.0627212524414,
2008-01-22,72.48062133789062,,,,,,,,88.16999816894531,,,,,37.956729888916016,,,11.637843132019043,93.10830688476562,
2008-01-23,72.55961608886719,,,,,,,,87.88999938964844,,,,,37.810691833496094,,,12.053935050964355,95.34481048583984,
2008-01-24,72.59123229980469,,,,,,,,90.08000183105469,,,,,38.58391189575195,,,12.266225814819336,96.14968872070312,
2008-01-25,72.51222229003906,,,,,,,,90.30000305175781,,,,,37.79351043701172,,,11.89684009552002,94.76074981689453,
2008-01-28,72.54379272460938,,,,,,,,91.75,,,,,38.08562469482422,,,12.168573379516602,96.32774353027344,
2008-01-29,72.6070556640625,,,,,,,,91.1500015258789,,,,,38.15434646606445,,,12.121868133544922,96.80500793457031,
2008-01-30,72.63859558105469,,,,,,,,92.05999755859375,,,,,38.11996841430664,,,12.232261657714844,96.09272766113281,
2008-01-31,72.63859558105469,,,,,,,,91.4000015258789,,,,,38.772918701171875,,,11.95203685760498,97.84487915039062,
2008-02-01,72.63067626953125,,,,,,,,89.3499984741211,,,,,39.16811752319336,,,12.8394136428833,99.41902160644531,
2008-02-04,72.64652252197266,,,,,,,,89.0999984741211,,,,,38.618282318115234,,,12.525222778320312,98.16539001464844,
2008-02-05,72.5990219116211,,,,,,,,87.68000030517578,,,,,37.518585205078125,,,12.066673278808594,95.53712463378906,
2008-02-06,72.66238403320312,,,,,,,,88.94999694824219,,,,,36.779727935791016,,,11.8458890914917,94.76786804199219,
2008-02-07,72.64652252197266,,,,,,,,89.8499984741211,,,,,37.037471771240234,,,11.892593383789062,95.39469146728516,
2008-02-08,72.64652252197266,,,,,,,,91.0,,,,,37.45842742919922,,,11.95203685760498,94.78211975097656,
2008-02-11,72.66238403320312,,,,,,,,91.33000183105469,,,,,37.86225128173828,,,12.185556411743164,95.2664794921875,
2008-02-12,72.64652252197266,,,,,,,,89.33000183105469,,,,,37.647464752197266,,,12.185556411743164,96.14968872070312,
2008-02-13,72.66238403320312,,,,,,,,89.44000244140625,,,,,38.472232818603516,,,12.576172828674316,97.13261413574219,
2008-02-14,72.67823028564453,,,,,,,,89.70999908447266,,,,,37.776336669921875,,,12.287454605102539,96.27790069580078,
2008-02-15,72.67823028564453,,,,,,,,89.1500015258789,,,,,37.647464752197266,,,12.13460636138916,96.25652313232422,
2008-02-19,72.67823028564453,,,,,,,,91.58000183105469,,,,,37.57872772216797,,,12.01147747039795,96.52716827392578,
2008-02-20,72.64652252197266,,,,,,,,93.23999786376953,,,,,37.75054168701172,,,12.24924373626709,96.81208801269531,
2008-02-21,72.70991516113281,,,,,,,,93.25,,,,,37.389713287353516,,,12.232261657714844,96.00723266601562,
2008-02-22,72.70991516113281,,,,,,,,93.38999938964844,,,,,37.52718734741211,,,12.22376823425293,96.5984115600586,
2008-02-25,72.67823028564453,,,,,,,,92.73999786376953,,,,,37.71617889404297,,,12.308686256408691,97.81639862060547,
2008-02-26,72.72573852539062,,,,,,,,93.70999908447266,,,,,37.86225128173828,,,12.53371524810791,98.55004119873047,
2008-02-27,72.74158477783203,,,,,,,,94.77999877929688,,,,,38.051246643066406,,,12.682317733764648,98.4503402709961,
2008-02-28,72.74158477783203,,,,,,,,95.98999786376953,,,,,37.90520095825195,,,12.503994941711426,97.4887924194336,
2008-02-29,72.75740051269531,,,,,,,,96.18000030517578,,,,,36.90001678466797,,,12.121868133544922,95.3163070678711,
2008-03-03,72.7844009399414,,,,,,,,97.23999786376953,,,,,36.6594352722168,,,12.05817985534668,95.08841705322266,
2008-03-04,72.7844009399414,,,,,,,,95.18000030517578,,,,,36.86563491821289,,,12.155835151672363,94.72517395019531,
2008-03-05,72.76856231689453,,,,,,,,97.72000122070312,,,,,37.046051025390625,,,12.29170036315918,95.32342529296875,
2008-03-06,72.80030059814453,,,,,,,,96.5,,,,,36.22986602783203,,,12.075162887573242,93.35045623779297,
2008-03-07,72.80030059814453,,,,,,,,96.08999633789062,,,,,36.14397048950195,,,12.155835151672363,92.388916015625,
2008-03-10,72.80030059814453,,,,,,,,95.87000274658203,,,,,35.44806671142578,,,12.181310653686523,91.1708984375,
2008-03-11,72.80030059814453,,,,,,,,95.98999786376953,,,,,36.796905517578125,,,12.427568435668945,94.44737243652344,
2008-03-12,72.81616973876953,,,,,,,,97.01000213623047,,,,,36.693809509277344,,,12.359634399414062,93.56412506103516,
2008-03-13,72.80030059814453,,,,,,,,98.33999633789062,,,,,36.97732925415039,,,12.444552421569824,93.77067565917969,
2008-03-14,72.8955078125,,,,,,,,98.70999908447266,,,,,36.298580169677734,,,12.177063941955566,92.31764221191406,
2008-03-17,72.8796157836914,,,,,,,,99.16999816894531,,,,,35.637062072753906,,,12.198291778564453,91.38460540771484,
2008-03-18,72.958984375,,,,,,,,96.5,,,,,37.22648620605469,,,12.62287712097168,95.18099212646484,
2008-03-19,72.97484588623047,,,,,,,,93.04000091552734,,,,,36.30720520019531,,,12.189800262451172,92.82339477539062,
2008-03-20,72.958984375,,,,,,,,89.91000366210938,,,,,37.04922103881836,,,12.351143836975098,94.542724609375,
2008-03-24,72.8955078125,,,,,,,,90.0999984741211,,,,,38.3303337097168,,,12.652597427368164,96.43244934082031,
2008-03-25,72.8479232788086,,,,,,,,92.7300033569336,,,,,38.5452995300293,,,12.678072929382324,96.5254898071289,
2008-03-26,72.8955078125,,,,,,,,93.80000305175781,,,,,38.43350601196289,,,12.487011909484863,95.34439849853516,
2008-03-27,72.91140747070312,,,,,,,,93.45999908447266,,,,,37.58229446411133,,,12.270471572875977,95.04375457763672,
2008-03-28,72.8479232788086,,,,,,,,91.87999725341797,,,,,37.39314270019531,,,12.11337661743164,94.13471221923828,
2008-03-31,72.92729187011719,,,,,,,,90.41000366210938,,,,,37.59088897705078,,,12.194046020507812,94.46394348144531,
2008-04-01,72.87956237792969,,,,,,,,86.86000061035156,,,,,39.19874572753906,,,12.62287712097168,97.7852783203125,
2008-04-02,72.87956237792969,,,,,,,,89.2699966430664,,,,,39.11275863647461,,,12.724777221679688,97.84972381591797,
2008-04-03,72.87956237792969,,,,,,,,89.41999816894531,,,,,39.19874572753906,,,12.983773231506348,98.09310150146484,
2008-04-04,72.9113540649414,,,,,,,,90.25,,,,,39.43088912963867,,,12.924331665039062,97.98571014404297,
2008-04-07,72.87956237792969,,,,,,,,91.16999816894531,,,,,39.34490203857422,,,12.860644340515137,98.03584289550781,
2008-04-08,72.9272689819336,,,,,,,,90.3499984741211,,,,,39.04397964477539,,,12.508238792419434,97.93559265136719,
2008-04-09,72.9272689819336,,,,,,,,92.29000091552734,,,,,38.60546875,,,12.652597427368164,97.22696685791016,
2008-04-10,72.9272689819336,,,,,,,,91.7699966430664,,,,,39.155738830566406,,,12.945561408996582,97.36294555664062,
2008-04-11,72.9272689819336,,,,,,,,91.30000305175781,,,,,38.0723991394043,,,12.546451568603516,95.47325897216797,
2008-04-14,72.95904541015625,,,,,,,,91.11000061035156,,,,,37.900428771972656,,,12.270471572875977,95.15115356445312,
2008-04-15,72.95904541015625,,,,,,,,91.66000366210938,,,,,37.95201110839844,,,12.25348949432373,95.37306213378906,
2008-04-16,72.9113540649414,,,,,,,,93.2699966430664,,,,,39.00959396362305,,,12.758744239807129,97.95710754394531,
2008-04-17,72.9113540649414,,,,,,,,92.55999755859375,,,,,38.923606872558594,,,12.779973983764648,98.10021209716797,
2008-04-18,72.8636703491211,,,,,,,,90.62000274658203,,,,,40.16172409057617,,,12.9073486328125,99.12384796142578,
2008-04-21,72.89546203613281,,,,,,,,90.25,,,,,40.445465087890625,,,13.136624336242676,99.17395782470703,
2008-04-22,72.9113540649414,,,,,,,,90.2699966430664,,,,,39.843589782714844,,,12.758744239807129,98.73734283447266,
2008-04-23,72.9113540649414,,,,,,,,89.22000122070312,,,,,40.2821044921875,,,12.992263793945312,98.579833984375,
2008-04-24,72.9272689819336,,,,,,,,87.22000122070312,,,,,40.643211364746094,,,13.11964225769043,99.00929260253906,
2008-04-25,72.9272689819336,,,,,,,,87.2699966430664,,,,,40.5400390625,,,13.145115852355957,99.925537109375,
2008-04-28,72.87956237792969,,,,,,,,87.69000244140625,,,,,40.6174201965332,,,13.128132820129395,99.947021484375,
2008-04-29,72.95904541015625,,,,,,,,85.80999755859375,,,,,40.926963806152344,,,13.16634464263916,99.55327606201172,
2008-04-30,72.87956237792969,,,,,,,,86.6500015258789,,,,,40.59162521362305,,,12.97952651977539,98.96639251708984,
