date,AQMIX,QSPIX,BIL
2010-01-04,,,73.66844940185547
2010-01-05,5.3726420402526855,,73.65238952636719
2010-01-06,5.3726420402526855,,73.65238952636719
2010-01-07,5.361896991729736,,73.65238952636719
2010-01-08,5.361896991729736,,73.65238952636719
2010-01-11,5.388760566711426,,73.65238952636719
2010-01-12,5.33503532409668,,73.65238952636719
2010-01-13,5.361896991729736,,73.68450927734375
2010-01-14,5.378015041351318,,73.66844940185547
2010-01-15,5.351151943206787,,73.66844940185547
2010-01-19,5.399505138397217,,73.66844940185547
2010-01-20,5.35652494430542,,73.66844940185547
2010-01-21,5.313543796539307,,73.66844940185547
2010-01-22,5.249072074890137,,73.66844940185547
2010-01-25,5.249072074890137,,73.68450927734375
2010-01-26,5.249072074890137,,73.68450927734375
2010-01-27,5.2383270263671875,,73.70061492919922
2010-01-28,5.211463451385498,,73.68450927734375
2010-01-29,5.216836929321289,,73.70061492919922
2010-02-01,5.2222089767456055,,73.68450927734375
2010-02-02,5.2329535484313965,,73.66844940185547
2010-02-03,5.22758150100708,,73.70061492919922
2010-02-04,5.184600830078125,,73.70061492919922
2010-02-05,5.1416192054748535,,73.70061492919922
2010-02-08,5.136246681213379,,73.70061492919922
2010-02-09,5.1416192054748535,,73.70061492919922
2010-02-10,5.130873680114746,,73.70061492919922
2010-02-11,5.152364253997803,,73.70061492919922
2010-02-12,5.173854827880859,,73.70061492919922
2010-02-16,5.16310977935791,,73.70061492919922
2010-02-17,5.200717926025391,,73.65238952636719
2010-02-18,5.189972400665283,,73.68450927734375
2010-02-19,5.179227828979492,,73.65238952636719
2010-02-22,5.184600830078125,,73.68450927734375
2010-02-23,5.179227828979492,,73.65238952636719
2010-02-24,5.173854827880859,,73.68450927734375
2010-02-25,5.1416192054748535,,73.68450927734375
2010-02-26,5.1416192054748535,,73.68450927734375
2010-03-01,5.1416192054748535,,73.65238952636719
2010-03-02,5.146991729736328,,73.66844940185547
2010-03-03,5.1577372550964355,,73.65238952636719
2010-03-04,5.168482780456543,,73.65238952636719
2010-03-05,5.206091403961182,,73.65238952636719
2010-03-08,5.211463451385498,,73.65238952636719
2010-03-09,5.216836929321289,,73.65238952636719
2010-03-10,5.2222089767456055,,73.66844940185547
2010-03-11,5.2222089767456055,,73.65238952636719
2010-03-12,5.2329535484313965,,73.65238952636719
2010-03-15,5.2222089767456055,,73.65238952636719
2010-03-16,5.243699550628662,,73.65238952636719
2010-03-17,5.270563125610352,,73.65238952636719
2010-03-18,5.259816646575928,,73.65238952636719
2010-03-19,5.254444599151611,,73.65238952636719
2010-03-22,5.265190124511719,,73.66844940185547
2010-03-23,5.297425746917725,,73.66844940185547
2010-03-24,5.265190124511719,,73.65238952636719
2010-03-25,5.254444599151611,,73.68450927734375
2010-03-26,5.249072074890137,,73.68450927734375
2010-03-29,5.292052745819092,,73.65238952636719
2010-03-30,5.302798271179199,,73.65238952636719
2010-03-31,5.324289321899414,,73.68450927734375
2010-04-01,5.361896991729736,,73.68450927734375
2010-04-05,5.383388042449951,,73.65238952636719
2010-04-06,5.399505138397217,,73.65238952636719
2010-04-07,5.388760566711426,,73.65238952636719
2010-04-08,5.388760566711426,,73.65238952636719
2010-04-09,5.388760566711426,,73.65238952636719
2010-04-12,5.3672709465026855,,73.65238952636719
2010-04-13,5.3672709465026855,,73.65238952636719
2010-04-14,5.410250186920166,,73.65238952636719
2010-04-15,5.431741237640381,,73.65238952636719
2010-04-16,5.3726420402526855,,73.65238952636719
2010-04-19,5.345778942108154,,73.66844940185547
2010-04-20,5.394132614135742,,73.65238952636719
2010-04-21,5.40487813949585,,73.65238952636719
2010-04-22,5.394132614135742,,73.65238952636719
2010-04-23,5.40487813949585,,73.65238952636719
2010-04-26,5.4263691902160645,,73.66844940185547
2010-04-27,5.3726420402526855,,73.65238952636719
2010-04-28,5.351151943206787,,73.66844940185547
2010-04-29,5.388760566711426,,73.66844940185547
2010-04-30,5.409316062927246,,73.65238952636719
2010-05-03,5.425543308258057,,73.66844940185547
2010-05-04,5.366041660308838,,73.65238952636719
2010-05-05,5.366041660308838,,73.66844940185547
2010-05-06,5.274083137512207,,73.68450927734375
2010-05-07,5.203762054443359,,73.68450927734375
2010-05-10,5.333585739135742,,73.68450927734375
2010-05-11,5.333585739135742,,73.68450927734375
2010-05-12,5.382268905639648,,73.68450927734375
2010-05-13,5.393087863922119,,73.66844940185547
2010-05-14,5.387678146362305,,73.68450927734375
2010-05-17,5.355222225189209,,73.68450927734375
2010-05-18,5.371452331542969,,73.66844940185547
2010-05-19,5.311949253082275,,73.68450927734375
2010-05-20,5.236217975616455,,73.68450927734375
2010-05-21,5.236217975616455,,73.68450927734375
2010-05-24,5.25785493850708,,73.68450927734375
2010-05-25,5.2632646560668945,,73.68450927734375
2010-05-26,5.268673419952393,,73.70061492919922
2010-05-27,5.236217975616455,,73.66844940185547
2010-05-28,5.268673419952393,,73.68450927734375
2010-06-01,5.2794928550720215,,73.68450927734375
2010-06-02,5.290311336517334,,73.70061492919922
2010-06-03,5.2849016189575195,,73.66844940185547
2010-06-04,5.338994979858398,,73.70061492919922
2010-06-07,5.344404220581055,,73.68450927734375
2010-06-08,5.349813461303711,,73.70061492919922
2010-06-09,5.333585739135742,,73.70061492919922
2010-06-10,5.301130294799805,,73.70061492919922
2010-06-11,5.311949253082275,,73.70061492919922
2010-06-14,5.274083137512207,,73.66844940185547
2010-06-15,5.274083137512207,,73.66844940185547
2010-06-16,5.274083137512207,,73.66844940185547
2010-06-17,5.290311336517334,,73.66844940185547
2010-06-18,5.290311336517334,,73.68450927734375
2010-06-21,5.2849016189575195,,73.66844940185547
2010-06-22,5.301130294799805,,73.68450927734375
2010-06-23,5.311949253082275,,73.68450927734375
2010-06-24,5.295721054077148,,73.68450927734375
2010-06-25,5.301130294799805,,73.68450927734375
2010-06-28,5.338994979858398,,73.68450927734375
2010-06-29,5.338994979858398,,73.68450927734375
2010-06-30,5.301130294799805,,73.70061492919922
2010-07-01,5.268673419952393,,73.68450927734375
2010-07-02,5.252446174621582,,73.68450927734375
2010-07-06,5.252446174621582,,73.66844940185547
2010-07-07,5.230808734893799,,73.66844940185547
2010-07-08,5.192943572998047,,73.68450927734375
2010-07-09,5.198352336883545,,73.66844940185547
2010-07-12,5.219990253448486,,73.68450927734375
2010-07-13,5.209171772003174,,73.68450927734375
2010-07-14,5.21458101272583,,73.68450927734375
2010-07-15,5.21458101272583,,73.68450927734375
2010-07-16,5.209171772003174,,73.68450927734375
2010-07-19,5.192943572998047,,73.66844940185547
2010-07-20,5.192943572998047,,73.66844940185547
2010-07-21,5.209171772003174,,73.66844940185547
2010-07-22,5.198352336883545,,73.66844940185547
2010-07-23,5.176715850830078,,73.68450927734375
2010-07-26,5.165897369384766,,73.65238952636719
2010-07-27,5.155077934265137,,73.65238952636719
2010-07-28,5.17130708694458,,73.66844940185547
2010-07-29,5.165897369384766,,73.65238952636719
2010-07-30,5.198352336883545,,73.66844940185547
2010-08-02,5.209171772003174,,73.65238952636719
2010-08-03,5.225398063659668,,73.65238952636719
2010-08-04,5.236217975616455,,73.65238952636719
2010-08-05,5.236217975616455,,73.65238952636719
2010-08-06,5.236217975616455,,73.65238952636719
2010-08-09,5.236217975616455,,73.65238952636719
2010-08-10,5.225398063659668,,73.66844940185547
2010-08-11,5.21458101272583,,73.68450927734375
2010-08-12,5.21458101272583,,73.68450927734375
2010-08-13,5.225398063659668,,73.68450927734375
2010-08-16,5.25785493850708,,73.66844940185547
2010-08-17,5.2632646560668945,,73.68450927734375
2010-08-18,5.2632646560668945,,73.66844940185547
2010-08-19,5.2416276931762695,,73.66844940185547
2010-08-20,5.2416276931762695,,73.68450927734375
2010-08-23,5.252446174621582,,73.66844940185547
2010-08-24,5.236217975616455,,73.66844940185547
2010-08-25,5.225398063659668,,73.68450927734375
2010-08-26,5.236217975616455,,73.66844940185547
2010-08-27,5.230808734893799,,73.66844940185547
2010-08-30,5.247037410736084,,73.68450927734375
2010-08-31,5.25785493850708,,73.66844940185547
2010-09-01,5.274083137512207,,73.66844940185547
2010-09-02,5.2794928550720215,,73.68450927734375
2010-09-03,5.2849016189575195,,73.68450927734375
2010-09-07,5.311949253082275,,73.66844940185547
2010-09-08,5.317357063293457,,73.66844940185547
2010-09-09,5.301130294799805,,73.66844940185547
2010-09-10,5.274083137512207,,73.66844940185547
2010-09-13,5.306540012359619,,73.66844940185547
2010-09-14,5.344404220581055,,73.68450927734375
2010-09-15,5.317357063293457,,73.68450927734375
2010-09-16,5.301130294799805,,73.68450927734375
2010-09-17,5.322767734527588,,73.66844940185547
2010-09-20,5.355222225189209,,73.66844940185547
2010-09-21,5.371452331542969,,73.66844940185547
2010-09-22,5.382268905639648,,73.66844940185547
2010-09-23,5.376860618591309,,73.66844940185547
2010-09-24,5.425543308258057,,73.68450927734375
2010-09-27,5.436362266540527,,73.68450927734375
2010-09-28,5.447181224822998,,73.66844940185547
2010-09-29,5.441771984100342,,73.66844940185547
2010-09-30,5.436362266540527,,73.66844940185547
2010-10-01,5.4201340675354,,73.66844940185547
2010-10-04,5.414724826812744,,73.68450927734375
2010-10-05,5.468818187713623,,73.66844940185547
2010-10-06,5.490455150604248,,73.66844940185547
2010-10-07,5.479636192321777,,73.66844940185547
2010-10-08,5.549958229064941,,73.66844940185547
2010-10-11,5.5553669929504395,,73.66844940185547
2010-10-12,5.560776710510254,,73.66844940185547
2010-10-13,5.604051113128662,,73.66844940185547
2010-10-14,5.614870548248291,,73.68450927734375
2010-10-15,5.587822914123535,,73.66844940185547
2010-10-18,5.582413673400879,,73.68450927734375
2010-10-19,5.506682872772217,,73.66844940185547
2010-10-20,5.566185474395752,,73.66844940185547
2010-10-21,5.549958229064941,,73.66844940185547
2010-10-22,5.5553669929504395,,73.68450927734375
2010-10-25,5.60945987701416,,73.66844940185547
2010-10-26,5.566185474395752,,73.68450927734375
2010-10-27,5.506682872772217,,73.68450927734375
2010-10-28,5.533729553222656,,73.66844940185547
2010-10-29,5.5553669929504395,,73.68450927734375
2010-11-01,5.587822914123535,,73.68450927734375
2010-11-02,5.614870548248291,,73.65238952636719
2010-11-03,5.620278835296631,,73.66844940185547
2010-11-04,5.7284650802612305,,73.66844940185547
2010-11-05,5.7284650802612305,,73.66844940185547
2010-11-08,5.7068281173706055,,73.66844940185547
2010-11-09,5.701419353485107,,73.66844940185547
2010-11-10,5.685191631317139,,73.66844940185547
2010-11-11,5.663553714752197,,73.65238952636719
2010-11-12,5.566185474395752,,73.68450927734375
2010-11-15,5.560776710510254,,73.68450927734375
2010-11-16,5.457998752593994,,73.68450927734375
2010-11-17,5.457998752593994,,73.68450927734375
2010-11-18,5.52291202545166,,73.66844940185547
2010-11-19,5.501274108886719,,73.66844940185547
2010-11-22,5.512092590332031,,73.66844940185547
2010-11-23,5.463409423828125,,73.66844940185547
2010-11-24,5.495864391326904,,73.68450927734375
2010-11-26,5.452589988708496,,73.68450927734375
2010-11-29,5.452589988708496,,73.68450927734375
2010-11-30,5.447181224822998,,73.68450927734375
2010-12-01,5.512092590332031,,73.66844940185547
2010-12-02,5.549958229064941,,73.66844940185547
2010-12-03,5.566185474395752,,73.68450927734375
2010-12-06,5.577004432678223,,73.66844940185547
2010-12-07,5.571595191955566,,73.66844940185547
2010-12-08,5.5553669929504395,,73.66844940185547
2010-12-09,5.5553669929504395,,73.68450927734375
2010-12-10,5.571595191955566,,73.68450927734375
2010-12-13,5.59323263168335,,73.68450927734375
2010-12-14,5.598642349243164,,73.68450927734375
