date,SPX,BOND,GOLD,OIL,USD,CASH
2008-01-02,103.22969055175781,55.76769256591797,84.86000061035156,26.99188232421875,19.492528915405273,72.41738891601562
2008-01-03,103.17982482910156,55.882198333740234,85.56999969482422,27.199960708618164,19.53402328491211,72.36998748779297
2008-01-04,100.6512451171875,56.028621673583984,85.12999725341797,27.04182243347168,19.326566696166992,72.35417938232422
2008-01-07,100.56578063964844,56.13044738769531,84.7699966430664,26.550756454467773,19.517425537109375,72.41738891601562
2008-01-08,98.94175720214844,56.251373291015625,86.77999877929688,26.792125701904297,19.492528915405273,72.36998748779297
2008-01-09,99.98167419433594,56.16230010986328,86.55000305175781,26.525789260864258,19.641897201538086,72.32258605957031
2008-01-10,100.63700866699219,56.00952911376953,88.25,26.40093994140625,19.451040267944336,72.35417938232422
2008-01-11,99.82499694824219,56.36589050292969,88.58000183105469,26.642309188842773,19.542316436767578,72.38585662841797
2008-01-14,100.62987518310547,56.391380310058594,89.54000091552734,26.975234985351562,19.442737579345703,72.44902038574219
2008-01-15,98.4146957397461,56.760467529296875,87.98999786376953,26.642309188842773,19.426143646240234,72.43319702148438
2008-01-16,97.56712341308594,56.652286529541016,86.69999694824219,26.392616271972656,19.666793823242188,72.43319702148438
2008-01-17,95.03852844238281,57.110477447509766,86.5,26.05136489868164,19.63359832763672,72.40160369873047
2008-01-18,94.06271362304688,57.02777862548828,87.41999816894531,26.151243209838867,19.691688537597656,72.44902038574219
2008-01-22,93.10829162597656,57.66417694091797,88.16999816894531,26.059690475463867,19.72488021850586,72.48062133789062
2008-01-23,95.34480285644531,57.39689636230469,87.88999938964844,25.568628311157227,19.666793823242188,72.55965423583984
2008-01-24,96.14968872070312,56.87502670288086,90.08000183105469,26.201183319091797,19.50082778930664,72.5912094116211
2008-01-25,94.76077270507812,57.40325164794922,90.30000305175781,26.783802032470703,19.550617218017578,72.5122299194336
2008-01-28,96.32777404785156,57.19327163696289,91.75,26.90865135192871,19.426143646240234,72.5438461303711
2008-01-29,96.80496215820312,56.96413803100586,91.1500015258789,27.133371353149414,19.417844772338867,72.60702514648438
2008-01-30,96.09269714355469,56.93870544433594,92.05999755859375,26.900327682495117,19.301671981811523,72.63865661621094
2008-01-31,97.84487915039062,57.23139572143555,91.4000015258789,27.03349494934082,19.451040267944336,72.63865661621094
2008-02-01,99.41900634765625,57.4172248840332,89.3499984741211,26.559078216552734,19.525724411010742,72.6307144165039
2008-02-04,98.16544342041016,57.09800338745117,89.0999984741211,27.025175094604492,19.492528915405273,72.64652252197266
2008-02-05,95.537109375,57.500186920166016,87.68000030517578,26.80044937133789,19.69998550415039,72.59900665283203
2008-02-06,94.76786041259766,57.39805221557617,88.94999694824219,26.675601959228516,19.69998550415039,72.66240692138672
2008-02-07,95.39466094970703,56.75321578979492,89.8499984741211,27.00020408630371,19.890844345092773,72.64652252197266
2008-02-08,94.7821273803711,57.23202133178711,91.0,27.807546615600586,19.8327579498291,72.64652252197266
2008-02-11,95.2664794921875,57.35974884033203,91.33000183105469,27.99065589904785,19.791269302368164,72.66240692138672
2008-02-12,96.14968872070312,57.23845672607422,89.33000183105469,27.424684524536133,19.72488021850586,72.64652252197266
2008-02-13,97.13262176513672,56.995849609375,89.44000244140625,27.649410247802734,19.758071899414062,72.66240692138672
2008-02-14,96.27787017822266,56.68302917480469,89.70999908447266,28.207054138183594,19.691688537597656,72.67826080322266
2008-02-15,96.25653076171875,56.804359436035156,89.1500015258789,28.07388687133789,19.691688537597656,72.67826080322266
2008-02-19,96.5271987915039,56.39573669433594,91.58000183105469,28.989431381225586,19.65849494934082,72.67826080322266
2008-02-20,96.81210327148438,56.344703674316406,93.23999786376953,29.13924217224121,19.666793823242188,72.64652252197266
2008-02-21,96.0072021484375,56.92566680908203,93.25,28.981109619140625,19.525724411010742,72.70990753173828
2008-02-22,96.59839630126953,56.766021728515625,93.38999938964844,29.380617141723633,19.301671981811523,72.70990753173828
2008-02-25,97.81641387939453,56.38936996459961,92.73999786376953,29.663602828979492,19.401247024536133,72.67826080322266
2008-02-26,98.55004119873047,56.52980422973633,93.70999908447266,30.296159744262695,19.268478393554688,72.72577667236328
2008-02-27,98.45032501220703,56.66388702392578,94.77999877929688,30.25454330444336,19.144004821777344,72.74163055419922
2008-02-28,97.48876190185547,57.32780456542969,95.98999786376953,30.545852661132812,19.0361270904541,72.74163055419922
2008-02-29,95.31633758544922,57.94071960449219,96.18000030517578,30.04646110534668,19.04442596435547,72.7574234008789
2008-03-03,95.0883560180664,57.79340744018555,97.23999786376953,30.48759651184082,19.0029354095459,72.78438568115234
2008-03-04,94.72517395019531,57.57568359375,95.18000030517578,30.379390716552734,19.052724838256836,72.78438568115234
2008-03-05,95.32344055175781,57.32589340209961,97.72000122070312,31.045238494873047,18.961444854736328,72.7685546875
2008-03-06,93.3504409790039,57.78697967529297,96.5,31.278291702270508,18.861862182617188,72.8002700805664
2008-03-07,92.38888549804688,57.985511779785156,96.08999633789062,30.96200942993164,18.919952392578125,72.8002700805664
2008-03-10,91.1708984375,58.40170669555664,95.87000274658203,31.544633865356445,18.861862182617188,72.8002700805664
2008-03-11,94.4473648071289,57.76774978637695,95.98999786376953,32.03569030761719,18.986339569091797,72.8002700805664
2008-03-12,93.56412506103516,58.43375015258789,97.01000213623047,32.3852653503418,18.654407501220703,72.8161849975586
2008-03-13,93.77069091796875,58.12641906738281,98.33999633789062,32.41856002807617,18.60462188720703,72.8002700805664
2008-03-14,92.3176498413086,58.72835159301758,98.70999908447266,32.37693786621094,18.6378116607666,72.89551544189453
2008-03-17,91.38455200195312,59.02293395996094,99.16999816894531,31.078535079956055,18.480144500732422,72.87968444824219
2008-03-18,95.1810073852539,58.61949157714844,96.5,31.769351959228516,18.695899963378906,72.95905303955078
2008-03-19,92.82337188720703,59.12540817260742,93.04000091552734,30.39603614807129,18.712495803833008,72.974853515625
2008-03-20,94.54268646240234,59.25343322753906,89.91000366210938,29.172536849975586,18.91165542602539,72.95905303955078
2008-03-24,96.43244934082031,58.20968246459961,90.0999984741211,29.705217361450195,19.19379425048828,72.89551544189453
2008-03-25,96.52550506591797,58.414546966552734,92.7300033569336,30.004850387573242,18.770584106445312,72.84790802001953
2008-03-26,95.34441375732422,58.45938491821289,93.80000305175781,30.903745651245117,18.505041122436523,72.89551544189453
2008-03-27,95.04376983642578,58.38254928588867,93.45999908447266,31.244998931884766,18.538232803344727,72.911376953125
2008-03-28,94.13467407226562,58.613040924072266,91.87999725341797,30.504243850708008,18.55483055114746,72.84790802001953
2008-03-31,94.46398162841797,58.71551513671875,90.41000366210938,29.771800994873047,18.588022232055664,72.92725372314453
2008-04-01,97.78531646728516,58.2021369934082,86.86000061035156,29.60533905029297,18.878459930419922,72.87962341308594
2008-04-02,97.84974670410156,58.009361267089844,89.2699966430664,30.48759651184082,18.695899963378906,72.87962341308594
2008-04-03,98.09308624267578,58.009361267089844,89.41999816894531,30.65406036376953,18.762287139892578,72.87962341308594
2008-04-04,97.98567962646484,58.45271682739258,90.25,30.870452880859375,18.57972526550293,72.9113540649414
2008-04-07,98.03581237792969,58.06718444824219,91.16999816894531,31.20338249206543,18.712495803833008,72.87962341308594
2008-04-08,97.93560028076172,58.07360076904297,90.3499984741211,31.328229904174805,18.712495803833008,72.92725372314453
2008-04-09,97.22695922851562,58.420616149902344,92.29000091552734,31.852581024169922,18.588022232055664,72.92725372314453
2008-04-10,97.36299896240234,58.18932342529297,91.7699966430664,31.711091995239258,18.67100715637207,72.92725372314453
2008-04-11,95.47322845458984,58.439849853515625,91.30000305175781,31.58624267578125,18.60462188720703,72.92725372314453
2008-04-14,95.15113067626953,58.29209899902344,91.11000061035156,31.80263900756836,18.60462188720703,72.9590835571289
2008-04-15,95.37305450439453,58.028648376464844,91.66000366210938,32.185508728027344,18.629514694213867,72.9590835571289
2008-04-16,97.95709228515625,57.636695861816406,93.2699966430664,32.493465423583984,18.44695472717285,72.9113540649414
2008-04-17,98.1002197265625,57.50173568725586,92.55999755859375,32.34365463256836,18.54653549194336,72.9113540649414
2008-04-18,99.12384033203125,57.44388198852539,90.62000274658203,32.360294342041016,18.67100715637207,72.8636474609375
2008-04-21,99.17393493652344,57.45034408569336,90.25,32.40190887451172,18.529937744140625,72.89545440673828
2008-04-22,98.73733520507812,57.49531936645508,90.2699966430664,32.60166549682617,18.463550567626953,72.9113540649414
2008-04-23,98.57982635498047,57.43751525878906,89.22000122070312,32.2937126159668,18.588022232055664,72.9113540649414
2008-04-24,99.00933074951172,56.98772048950195,87.22000122070312,31.752708435058594,18.795480728149414,72.92725372314453
2008-04-25,99.925537109375,56.91059112548828,87.2699966430664,32.335323333740234,18.84526824951172,72.92725372314453
2008-04-28,99.9469985961914,57.013423919677734,87.69000244140625,32.41023254394531,18.820371627807617,72.87962341308594
