date,open_GDE,close_GDE
2022-03-17,20.015603841540518,22.497020721435547
2022-03-18,22.62671132103944,22.551490783691406
2022-03-21,22.64400372999759,22.742568969726562
2022-03-22,22.782340092560045,22.870529174804688
2022-03-23,23.819867553501417,22.919815063476562
2022-03-24,23.182654280159767,23.34347152709961
2022-03-25,23.25787349125558,23.385835647583008
2022-03-28,23.309751294231845,23.26219940185547
2022-03-29,23.015785524549134,23.434253692626953
2022-03-30,23.439438809311255,23.465375900268555
2022-03-31,23.525902424482275,23.444629669189453
2022-04-01,23.188705501038058,23.065067291259766
2022-04-04,23.24144639912185,23.337417602539062
2022-04-05,23.370273074102517,22.953533172607422
2022-04-06,22.65265314808168,22.75899887084961
2022-04-07,22.79098876014041,22.915491104125977
2022-04-08,23.084953294893097,22.95526123046875
2022-04-11,22.912032221537167,22.7512149810791
2022-04-12,22.806547164916992,22.806547164916992
2022-04-13,23.149799346923828,23.149799346923828
2022-04-14,23.145473068020294,22.8463191986084
2022-04-18,23.084950990186197,22.8463191986084
2022-04-19,22.661295195837248,22.475406646728516
2022-04-20,22.76504878685748,22.95699119567871
2022-04-21,22.929325605534594,22.540252685546875
2022-04-22,22.436498166570367,21.703311920166016
2022-04-25,21.623772819068186,21.522613525390625
2022-04-26,21.18282420907025,21.0289249420166
2022-04-27,21.105006076878485,20.896636962890625
2022-04-28,21.139590831791452,21.45430564880371
2022-04-29,20.698640823364258,20.698640823364258
2022-05-02,18.53713007376709,20.461740493774414
2022-05-03,20.601806640625,20.601806640625
2022-05-04,21.33758544921875,21.33758544921875
2022-05-05,20.53609848022461,20.53609848022461
2022-05-06,20.47817039489746,20.47817039489746
2022-05-09,20.19717359277317,19.534021377563477
2022-05-10,19.40260124206543,19.40260124206543
2022-05-11,19.288471221923828,19.288471221923828
2022-05-12,19.107770226039328,18.078889846801758
2022-05-13,19.02130699157715,19.02130699157715
2022-05-16,19.19423006156157,18.606298446655273
2022-05-17,18.76192855834961,18.76192855834961
2022-05-18,18.571714401245117,18.571714401245117
2022-05-19,19.061944622051193,18.51119041442871
2022-05-20,18.416086196899414,18.416086196899414
2022-05-23,19.064537048339844,19.064537048339844
2022-05-24,19.414706527055024,18.943496704101562
2022-05-25,19.401733593157505,19.02130699157715
2022-05-26,18.934852600097656,18.934852600097656
2022-05-27,20.326864497225923,20.197174072265625
2022-05-31,20.119359321468473,19.211523056030273
2022-06-01,19.1510009765625,19.1510009765625
2022-06-02,19.721638456162673,19.704347610473633
2022-06-03,20.06748251059625,19.808101654052734
2022-06-06,20.17123366940871,19.32392120361328
2022-06-07,19.721640389525525,19.393091201782227
2022-06-08,19.937791871774678,19.505489349365234
2022-06-09,18.831098556518555,18.831098556518555
2022-06-10,18.891616661067115,19.325647354125977
2022-06-13,18.89162106974355,18.1385498046875
2022-06-14,17.95611572265625,17.95611572265625
2022-06-15,18.19993587977818,18.446348190307617
2022-06-16,18.104827297223814,18.11865997314453
2022-06-17,18.17399722126529,18.011451721191406
2022-06-21,18.329626173511237,18.324438095092773
2022-06-22,18.30368543586288,18.32962417602539
2022-06-23,18.260458065315508,18.43683624267578
2022-06-24,18.920148849487305,18.920148849487305
2022-06-27,19.0386009056867,18.787864685058594
2022-06-28,18.477474212646484,18.477474212646484
2022-06-29,18.468828201293945,18.468828201293945
2022-06-30,18.145465850830078,18.145465850830078
2022-07-01,18.350378036499023,18.350378036499023
2022-07-05,17.953521533270553,18.020095825195312
2022-07-06,17.826425552368164,17.826425552368164
2022-07-07,18.018366867156992,18.11087989807129
2022-07-08,18.116933822631836,18.116933822631836
2022-07-11,17.94920250940107,17.79184341430664
2022-07-12,17.592117309570312,17.592117309570312
2022-07-13,17.614599227905273,17.614599227905273
