date,open_SPX,open_QQQ,open_SEMIS,open_BOND,open_GOLD,open_OIL,open_USD,open_CASH,close_SPX,close_QQQ,close_SEMIS,close_BOND,close_GOLD,close_OIL,close_USD,close_CASH
2011-12-01,96.3868627654109,49.60818254521593,12.941315118244866,75.48691404637276,169.85000610351562,23.30025942438391,18.39551701095006,73.63631439208984,96.47950744628906,49.96013641357422,13.077181816101074,75.61090087890625,169.6300048828125,23.28335189819336,18.420578002929688,73.63631439208984
2011-12-02,97.36736401560961,50.45288827314571,13.162098109649234,75.47962492692486,170.64999389648438,23.44398470477383,18.378814255205825,73.65238952636719,96.39461517333984,49.819366455078125,12.992264747619629,75.94640350341797,169.82000732421875,23.486257553100586,18.479063034057617,73.65238952636719
2011-12-05,97.92318376206055,50.56727678318723,13.18757265638868,75.53798538779924,169.05999755859375,23.604617524425528,18.403876848268844,73.65238952636719,97.44453430175781,50.36490249633789,13.183326721191406,75.90265655517578,167.32000732421875,23.359439849853516,18.479063034057617,73.65238952636719
2011-12-06,97.43682229335806,50.40889718186836,13.213047381299559,75.68381880067174,166.30999755859375,23.32562395454747,18.50412405512057,73.63628974301845,97.47542572021484,50.22412109375,13.20455551147461,75.70570373535156,168.17999267578125,23.486257553100586,18.46235466003418,73.66841888427734
2011-12-07,97.15117522337941,50.083335476310644,13.162098774618258,75.85885228597387,168.7899932861328,23.452438447908452,18.48741377933595,73.65238952636719,97.8382797241211,50.22412109375,13.31070327758789,76.04847717285156,169.39999389648438,23.28335189819336,18.43729019165039,73.65238952636719
2011-12-08,97.19752333280125,49.89853714574743,13.208802596791877,76.01933379600557,166.9600067138672,23.181899914179695,18.495767545177703,73.65238952636719,95.69207763671875,49.37940216064453,12.949806213378906,76.43505859375,165.97999572753906,22.987449645996094,18.537538528442383,73.65238952636719
2011-12-09,96.12438740822026,49.50259990981874,12.71628592352411,76.36938786284239,166.42999267578125,22.9536305136353,18.52918662678337,73.63631439208984,97.31330108642578,50.17131805419922,13.106903076171875,75.90990447998047,166.39999389648438,23.071992874145508,18.479063034057617,73.63631439208984
2011-12-12,96.46406299584493,49.6433778533398,12.81818662013518,76.19435709112878,162.35000610351562,22.809907289246176,18.621078121514817,73.63631439208984,95.89276885986328,49.608184814453125,12.695056915283203,76.17247772216797,161.99000549316406,22.776090621948242,18.671201705932617,73.63631439208984
2011-12-13,96.39457956238574,49.933744945748316,12.746005312183753,76.02662250462576,161.86000061035156,22.784544746374443,18.68791085288955,73.63631439208984,94.99722290039062,49.062652587890625,12.470026016235352,76.52257537841797,158.4499969482422,22.86908721923828,18.854990005493164,73.63631439208984
2011-12-14,94.61892758464366,48.87786905966854,12.38935715350617,76.59551137210373,156.7899932861328,22.42945949224961,18.921823846886575,73.63632494805738,93.98587036132812,48.297142028808594,12.253490447998047,76.84349060058594,152.88999938964844,22.057466506958008,18.89676284790039,73.65238952636719
2011-12-15,94.98180917233965,48.71068792052002,12.499746838899618,76.61737384745587,154.74000549316406,22.226555313173176,18.829932829908294,73.65237896809677,94.32559204101562,48.165157318115234,12.363880157470703,76.77782440185547,152.3300018310547,21.947559356689453,18.84663963317871,73.63631439208984
2011-12-16,94.96265638250019,48.42197034495813,12.397846827827932,76.89452694623071,154.30999755859375,22.03210244152808,18.821577114745274,73.65238952636719,94.46542358398438,48.41314697265625,12.363880157470703,77.14979553222656,155.22999572753906,22.12510108947754,18.78816032409668,73.65238952636719
2011-12-19,94.83055528877169,48.59847528790157,12.385109571249213,77.12790300116835,155.47999572753906,22.125102438971503,18.81322061569228,73.63632494805738,93.45541381835938,47.93661117553711,12.266225814819336,77.41234588623047,154.8699951171875,22.023649215698242,18.854990005493164,73.65238952636719
2011-12-20,94.92384077567161,48.71319270526497,12.427568915277623,77.09148243277942,156.82000732421875,22.41254975039564,18.654496778442812,73.65238952636719,96.283447265625,49.35740661621094,12.750252723693848,76.71222686767578,156.97999572753906,22.53091049194336,18.696266174316406,73.65238952636719
2011-12-21,96.2834129285456,49.06618643825202,12.77997163913538,76.81431243764774,156.97999572753906,22.514002750570107,18.696266174316406,73.65238952636719,96.4698715209961,48.65142059326172,12.601646423339844,76.46422576904297,157.16000366210938,22.691545486450195,18.696266174316406,73.65238952636719
2011-12-22,96.82721334108119,48.75731646605887,12.665336385228793,76.69034097453698,156.35000610351562,22.733816935323773,18.729682965735535,73.65238952636719,97.3244400024414,49.066184997558594,12.920086860656738,76.5590591430664,156.0399932861328,22.716909408569336,18.696266174316406,73.65238952636719
2011-12-23,97.63525175814644,49.16326978877203,12.971036896312595,76.37665066366456,156.35000610351562,22.75917970961624,18.69626235048471,73.65238952636719,98.19463348388672,49.48979187011719,13.013495445251465,76.24536895751953,156.30999755859375,22.826814651489258,18.70461654663086,73.65238952636719
2011-12-27,98.02371016784622,49.45357457449618,13.000758447450428,76.3031621425337,155.0800018310547,22.776085617158014,18.671201715228026,73.63631439208984,98.27232360839844,49.67438888549805,13.013495445251465,76.2885513305664,154.91000366210938,22.928264617919922,18.6628475189209,73.63631439208984
2011-12-28,98.28784970656112,49.612552902032995,12.983773406719475,76.41267553035021,154.0500030517578,22.885996745889734,18.721327960694687,73.63953399658203,96.98262786865234,49.10026550292969,12.856398582458496,76.77069854736328,151.02999877929688,22.65772819519043,18.83828353881836,73.63953399658203
2011-12-29,97.30119463444221,49.17976037899011,12.894611546574199,76.74154940616754,149.08999633789062,22.666182401635723,18.854992290635952,73.63953399658203,97.9848861694336,49.45357131958008,12.971035957336426,76.86576080322266,150.33999633789062,22.72536277770996,18.804868698120117,73.63953399658203
2011-12-30,97.90719141735022,49.34758359007676,12.954053536725167,76.96074319153423,152.13999938964844,22.632365112004923,18.77145004272461,73.63953399658203,97.5031967163086,49.312255859375,12.920086860656738,77.13610076904297,151.99000549316406,22.691545486450195,18.77145004272461,73.63953399658203
2012-01-03,99.25902238769329,50.26615530615707,13.179082716004915,76.6466064453125,154.75999450683594,23.122717169559337,18.64614140746434,73.63957605569644,99.05702209472656,50.25732421875,13.098411560058594,76.6466064453125,155.9199981689453,23.36789321899414,18.61272621154785,73.62350463867188
2012-01-04,98.82394343727108,50.17784525139981,13.026231922410549,76.63922264572163,155.42999267578125,23.342533924920076,18.712970733642578,73.63957605569644,99.21240234375,50.46931838989258,13.106903076171875,76.40541076660156,156.7100067138672,23.545438766479492,18.712970733642578,73.62350463867188
2012-01-05,98.6763061002999,50.36332711032903,13.09416449593869,76.47118044015559,155.3699951171875,23.42707551874559,18.871699921404222,73.62350463867188,99.47652435302734,50.88444900512695,13.268243789672852,76.42002868652344,157.77999877929688,23.224170684814453,18.913469314575195,73.62350463867188
2012-01-06,99.60084180293738,50.893278981512935,13.217294083921708,76.51499694498212,158.58999633789062,23.32562255859375,18.946885708161393,73.62350463867188,99.22015380859375,51.061100006103516,13.251260757446289,76.7195816040039,157.1999969482422,23.32562255859375,18.980300903320312,73.62350463867188
2012-01-09,99.44543397856404,51.193572269786394,13.348915283893005,76.67575836416145,157.36000061035156,23.35098648071289,18.938531906517905,73.63953399658203,99.46097564697266,50.89326477050781,13.467798233032227,76.73420715332031,156.5,23.35098648071289,18.913469314575195,73.63953399658203
2012-01-10,100.5254044160401,51.43206554669135,13.624895005697944,76.52965671999468,158.97000122070312,23.570798739694208,18.880054452976104,73.62346258873664,100.32341003417969,51.26424789428711,13.56545352935791,76.58080291748047,158.63999938964844,23.52007293701172,18.89676284790039,73.63953399658203
2012-01-11,100.01262478627625,51.25540345844856,13.535730784623448,76.77807412760667,159.33999633789062,23.47780206249332,18.97194670618054,73.63957605569644,100.37777709960938,51.3702278137207,13.548468589782715,77.02649688720703,159.6699981689453,23.452438354492188,18.980300903320312,73.62350463867188
2012-01-12,100.66525448599606,51.48505134962868,13.612156995744654,76.98266958246332,161.02000427246094,23.38480594594709,18.888406792053935,73.62350463867188,100.6186294555664,51.5733757019043,13.667351722717285,76.86576080322266,160.3800048828125,23.12272071838379,18.854990005493164,73.62350463867188
2012-01-13,99.94266422397476,51.29958836323249,13.561206917893,77.23107121815298,159.32000732421875,23.03817459612995,18.997007360718833,73.62350463867188,100.0980453491211,51.38791275024414,13.412602424621582,77.20915222167969,159.25999450683594,23.071992874145508,19.005361557006836,73.62350463867188
2012-01-17,101.0614651668504,51.83836777553621,13.527241308521257,77.17265442286768,161.1699981689453,23.215713009571406,18.946886072910956,73.62350463867188,100.48654174804688,51.85603332519531,13.429586410522461,77.2822494506836,160.5,23.232622146606445,18.93853187561035,73.62350463867188
2012-01-18,100.46323662970306,51.95318739950846,13.658860596300231,77.39186827472385,159.94000244140625,23.24108123779297,18.838282023906626,73.62350463867188,101.59754180908203,52.54497146606445,13.964561462402344,77.04115295410156,161.60000610351562,23.24108123779297,18.77145004272461,73.62350463867188
2012-01-19,101.94715667241064,52.783448839112204,14.070709360692547,76.88768567691267,160.9600067138672,23.317169402556985,18.72967948665339,73.62350463867188,102.13362121582031,52.87177658081055,14.193839073181152,76.58080291748047,161.22000122070312,23.342533111572266,18.671201705932617,73.62350463867188
